cnumber,cnumber2,ptype,pname,month,year,VAN0,VAN1,VAN2,lotnum,city,county,state,country,longitude,latitude,fips,title,thumb_url,small_url,large_url
fsa1992000012/PP,LC-DIG-fsac-1a33849,NA,Jack Delano,1,1941,NA,NA,NA,NA,Lowell,Middlesex County,Massachusetts,United States,-71.3161718,42.6334247,25017,"Commuters, who have just come off the train, waiting for the bus to go home, Lowell, Mass.",thumb/0000/0000/1a33849_150px.jpg,small/0000/0000/1a33849r.jpg,large/0000/0000/1a33849v.jpg
fsa1992000013/PP,LC-DIG-fsac-1a33850,NA,Jack Delano,12,1940,NA,NA,NA,NA,Lowell,Middlesex County,Massachusetts,United States,-71.3161718,42.6334247,25017,"Factory buildings in Lowell, Mass.",thumb/0000/0000/1a33850_150px.jpg,small/0000/0000/1a33850r.jpg,large/0000/0000/1a33850v.jpg
fsa1992000014/PP,LC-DIG-fsac-1a33851,NA,Jack Delano,12,1940,NA,NA,NA,NA,Brockton,Plymouth County,Massachusetts,United States,-71.0183787,42.0834335,25023,"Brockton, Mass., Dec. 1940, second-hand plumbing store",thumb/0000/0000/1a33851_150px.jpg,small/0000/0000/1a33851r.jpg,large/0000/0000/1a33851v.jpg
fsa1992000015/PP,LC-DIG-fsac-1a33852,NA,Jack Delano,12,1940,NA,NA,NA,NA,Brockton,Plymouth County,Massachusetts,United States,-71.0183787,42.0834335,25023,"Headlines posted in street-corner window of newspaper off[ice] (Brockton Enterprise) ... Brockton, Mass.",thumb/0000/0000/1a33852_150px.jpg,small/0000/0000/1a33852r.jpg,large/0000/0000/1a33852v.jpg
fsa1992000016/PP,LC-DIG-fsac-1a33853,NA,Jack Delano,12,1940,NA,NA,NA,NA,Brockton,Plymouth County,Massachusetts,United States,-71.0183787,42.0834335,25023,"Children in the tenement district, Brockton, Mass.",thumb/0000/0000/1a33853_150px.jpg,small/0000/0000/1a33853r.jpg,large/0000/0000/1a33853v.jpg
fsa1992000017/PP,LC-DIG-fsac-1a33855,NA,Jack Delano,12,1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Detail of industrial building in Massachusetts,thumb/0000/0000/1a33855_150px.jpg,small/0000/0000/1a33855r.jpg,large/0000/0000/1a33855v.jpg
fsa1992000018/PP,LC-DIG-fsac-1a33856,NA,Jack Delano,12,1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Sylvia Sweets Tea Room, corner of School and Main streets, Brockton, Mass.]",thumb/0000/0000/1a33856_150px.jpg,small/0000/0000/1a33856r.jpg,large/0000/0000/1a33856v.jpg
fsa1992000019/PP,LC-DIG-fsac-1a33857,NA,Jack Delano,1,1941,NA,NA,NA,NA,Lowell,Middlesex County,Massachusetts,United States,-71.3161718,42.6334247,25017,"Lowell, Mass., street",thumb/0000/0000/1a33857_150px.jpg,small/0000/0000/NA,large/0000/0000/1a33857v.jpg
fsa1992000020/PP,LC-DIG-fsac-1a33858,NA,Jack Delano,1,NA,NA,NA,NA,NA,Lawrence,Essex County,Massachusetts,United States,-71.1631137,42.7070354,25009,"Railroad cars and factory buildings in Lawrence, Mass.",thumb/0000/0000/1a33858_150px.jpg,small/0000/0000/1a33858r.jpg,large/0000/0000/1a33858v.jpg
fsa1992000021/PP,LC-DIG-fsac-1a33859,NA,Jack Delano,12,1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Detail of industrial building in Mass.,thumb/0000/0000/1a33859_150px.jpg,small/0000/0000/1a33859r.jpg,large/0000/0000/1a33859v.jpg
fsa1992000022/PP,LC-DIG-fsac-1a33860,NA,Jack Delano,12,1940,NA,NA,NA,NA,Brockton,Plymouth County,Massachusetts,United States,-71.0183787,42.0834335,25023,"Street scene, possibly in Brockton, Mass.",thumb/0000/0000/1a33860_150px.jpg,small/0000/0000/1a33860r.jpg,large/0000/0000/1a33860v.jpg
fsa1992000023/PP,LC-DIG-fsac-1a33861,NA,Jack Delano,12,1940,NA,NA,NA,NA,Brockton,Plymouth County,Massachusetts,United States,-71.0183787,42.0834335,25023,"[Children with adult in the tenement district, Brockton, Massachusetts]",thumb/0000/0000/1a33861_150px.jpg,small/0000/0000/1a33861r.jpg,large/0000/0000/1a33861v.jpg
fsa1992000024/PP,LC-DIG-fsac-1a33862,NA,Jack Delano,12,1940,NA,NA,NA,NA,Brockton,Plymouth County,Massachusetts,United States,-71.0183787,42.0834335,25023,"[Douglas Shoe Factory, Spark St., Brockton, Mass.]",thumb/0000/0000/1a33862_150px.jpg,small/0000/0000/1a33862r.jpg,large/0000/0000/1a33862v.jpg
