the_geom,cartodb_id,pname,date,year,longitude,latitude,state,county,cnumber
0101000020E61000004C416D0A9A3D5DC0CA1EFC1FBB654040,1212,Jack Delano,1943-03-01 00:00:00+00,1943,-116.9625269,32.7947731,California,San County,fsa1992001612/PP
0101000020E61000000C789961230C53C0EA4141295A754240,12368,Jack Delano,1940-07-01 00:00:00+00,1940,-76.1896595,36.916814,Virginia,City Norfolk,fsa1998006402/PP
0101000020E6100000106D1162787A53C00C9D8D4B0B134140,37873,Jack Delano,1941-03-01 00:00:00+00,1941,-77.9135976,34.1487822,North Carolina,New County,fsa2000024873/PP
0101000020E610000040DB6AD699C754C0535C55F65DD94040,38745,Jack Delano,1941-06-01 00:00:00+00,1941,-83.1187645,33.69818,Georgia,Greene County,fsa2000026255/PP
0101000020E6100000C0BE8C18ACCB54C011AEDBFBAFC94040,39850,Jack Delano,1941-11-01 00:00:00+00,1941,-83.1823789,33.5756831,Georgia,Greene County,fsa2000028137/PP
0101000020E61000000FB40243564953C06D8FDE701F5B4340,66759,Jack Delano,1942-09-01 00:00:00+00,1942,-77.14589,38.711897,Virginia,Fairfax County,owi2001010486/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,69855,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,owi2001015045/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,71427,Jack Delano,1943-02-01 00:00:00+00,1943,-87.6500523,41.850033,Illinois,Cook County,owi2001017876/PP
0101000020E6100000332C90EA85EB55C0EF0B9EF820D44440,72050,Jack Delano,1943-02-01 00:00:00+00,1943,-87.6800486,41.6572562,Illinois,Cook County,owi2001018880/PP
0101000020E610000006A3EDF3731859C03F912749D7F44140,73509,Jack Delano,1943-03-01 00:00:00+00,1943,-100.3820772,35.91282,Texas,Hemphill County,owi2001021526/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,77318,Jack Delano,1943-05-01 00:00:00+00,1943,-87.6500523,41.850033,Illinois,Cook County,owi2001027318/PP
0101000020E6100000721EA919AD6757C00234A55071044540,84985,Jack Delano,1942-05-01 00:00:00+00,1942,-93.6199402,42.0347081,Iowa,Story County,owi2001046742/PP
0101000020E6100000C1920612EFBE55C06968A8F68E4D4140,85165,Jack Delano,1942-07-01 00:00:00+00,1942,-86.9833417,34.6059254,Alabama,Morgan County,owi2001046943/PP
0101000020E610000009B1E9F7337559C04727A6666A9C4140,85556,Jack Delano,1943-03-01 00:00:00+00,1943,-101.8312969,35.2219971,Texas,Potter County,owi2001047389/PP
0101000020E61000008A88AC7FA1AC5BC0413DC79118834140,85614,Jack Delano,1943-03-01 00:00:00+00,1943,-110.6973571,35.0241873,Arizona,Navajo County,owi2001047469/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,66645,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,owi2001010301/PP
0101000020E6100000B9CA6EC1AD5956C0673513C259894540,72805,Jack Delano,1943-02-01 00:00:00+00,1943,-89.4012302,43.0730517,Wisconsin,Dane County,owi2001020085/PP
0101000020E6100000B83AA5283CD451C0437D810F14514540,1,Jack Delano,1941-01-01 00:00:00+00,1941,-71.3161718,42.6334247,Massachusetts,Middlesex County,fsa1992000012/PP
0101000020E6100000B83AA5283CD451C0437D810F14514540,2,Jack Delano,1940-12-01 00:00:00+00,1940,-71.3161718,42.6334247,Massachusetts,Middlesex County,fsa1992000013/PP
0101000020E61000005ADCDA1D2DC151C006F2ECF2AD0A4540,3,Jack Delano,1940-12-01 00:00:00+00,1940,-71.0183787,42.0834335,Massachusetts,Plymouth County,fsa1992000014/PP
0101000020E61000005ADCDA1D2DC151C006F2ECF2AD0A4540,4,Jack Delano,1940-12-01 00:00:00+00,1940,-71.0183787,42.0834335,Massachusetts,Plymouth County,fsa1992000015/PP
0101000020E61000005ADCDA1D2DC151C006F2ECF2AD0A4540,5,Jack Delano,1940-12-01 00:00:00+00,1940,-71.0183787,42.0834335,Massachusetts,Plymouth County,fsa1992000016/PP
0101000020E6100000B83AA5283CD451C0437D810F14514540,6,Jack Delano,1941-01-01 00:00:00+00,1941,-71.3161718,42.6334247,Massachusetts,Middlesex County,fsa1992000019/PP
0101000020E61000005ADCDA1D2DC151C006F2ECF2AD0A4540,7,Jack Delano,1940-12-01 00:00:00+00,1940,-71.0183787,42.0834335,Massachusetts,Plymouth County,fsa1992000022/PP
0101000020E61000005ADCDA1D2DC151C006F2ECF2AD0A4540,8,Jack Delano,1940-12-01 00:00:00+00,1940,-71.0183787,42.0834335,Massachusetts,Plymouth County,fsa1992000023/PP
0101000020E61000005ADCDA1D2DC151C006F2ECF2AD0A4540,9,Jack Delano,1940-12-01 00:00:00+00,1940,-71.0183787,42.0834335,Massachusetts,Plymouth County,fsa1992000024/PP
0101000020E61000005ADCDA1D2DC151C006F2ECF2AD0A4540,10,Jack Delano,1940-12-01 00:00:00+00,1940,-71.0183787,42.0834335,Massachusetts,Plymouth County,fsa1992000026/PP
0101000020E61000005ADCDA1D2DC151C006F2ECF2AD0A4540,11,Jack Delano,1940-12-01 00:00:00+00,1940,-71.0183787,42.0834335,Massachusetts,Plymouth County,fsa1992000027/PP
0101000020E61000009FB0C403CABB51C0EB9BEA7F6FD14440,12,Jack Delano,1941-01-01 00:00:00+00,1941,-70.934205,41.6362152,Massachusetts,Bristol County,fsa1992000028/PP
0101000020E61000005ADCDA1D2DC151C006F2ECF2AD0A4540,13,Jack Delano,1941-01-01 00:00:00+00,1941,-71.0183787,42.0834335,Massachusetts,Plymouth County,fsa1992000029/PP
0101000020E61000009FB0C403CABB51C0EB9BEA7F6FD14440,14,Jack Delano,1941-01-01 00:00:00+00,1941,-70.934205,41.6362152,Massachusetts,Bristol County,fsa1992000030/PP
0101000020E61000009FB0C403CABB51C0EB9BEA7F6FD14440,15,Jack Delano,1941-01-01 00:00:00+00,1941,-70.934205,41.6362152,Massachusetts,Bristol County,fsa1992000031/PP
0101000020E61000005ADCDA1D2DC151C006F2ECF2AD0A4540,16,Jack Delano,1940-12-01 00:00:00+00,1940,-71.0183787,42.0834335,Massachusetts,Plymouth County,fsa1992000032/PP
0101000020E61000005ADCDA1D2DC151C006F2ECF2AD0A4540,17,Jack Delano,1940-12-01 00:00:00+00,1940,-71.0183787,42.0834335,Massachusetts,Plymouth County,fsa1992000033/PP
0101000020E61000005ADCDA1D2DC151C006F2ECF2AD0A4540,18,Jack Delano,1940-12-01 00:00:00+00,1940,-71.0183787,42.0834335,Massachusetts,Plymouth County,fsa1992000034/PP
0101000020E61000005ADCDA1D2DC151C006F2ECF2AD0A4540,19,Jack Delano,1940-12-01 00:00:00+00,1940,-71.0183787,42.0834335,Massachusetts,Plymouth County,fsa1992000035/PP
0101000020E61000005FD04202C6F751C028C7AEFE19BC4440,20,Jack Delano,1940-11-01 00:00:00+00,1940,-71.8714605,41.4695433,Connecticut,New County,fsa1992000036/PP
0101000020E610000013BBB6B7DB0452C069F8BB1C1BC34440,21,Jack Delano,1940-11-01 00:00:00+00,1940,-72.0759105,41.5242649,Connecticut,New County,fsa1992000037/PP
0101000020E61000005FD04202C6F751C028C7AEFE19BC4440,22,Jack Delano,1940-11-01 00:00:00+00,1940,-71.8714605,41.4695433,Connecticut,New County,fsa1992000038/PP
0101000020E61000005FD04202C6F751C028C7AEFE19BC4440,23,Jack Delano,1940-11-01 00:00:00+00,1940,-71.8714605,41.4695433,Connecticut,New County,fsa1992000039/PP
0101000020E6100000FFB858AC3C2C52C08DF56805E1FD4440,24,Jack Delano,1940-09-01 00:00:00+00,1940,-72.6912032,41.9834296,Connecticut,Hartford County,fsa1992000040/PP
0101000020E61000005FD04202C6F751C028C7AEFE19BC4440,25,Jack Delano,1940-11-01 00:00:00+00,1940,-71.8714605,41.4695433,Connecticut,New County,fsa1992000041/PP
0101000020E61000005FD04202C6F751C028C7AEFE19BC4440,26,Jack Delano,1940-11-01 00:00:00+00,1940,-71.8714605,41.4695433,Connecticut,New County,fsa1992000042/PP
0101000020E6100000AB3BBB21B24552C08FF172220BA94440,27,Jack Delano,1940-09-01 00:00:00+00,1940,-73.0889973,41.3206523,Connecticut,New County,fsa1992000043/PP
0101000020E6100000AB3BBB21B24552C08FF172220BA94440,28,Jack Delano,1940-09-01 00:00:00+00,1940,-73.0889973,41.3206523,Connecticut,New County,fsa1992000044/PP
0101000020E6100000AB3BBB21B24552C08FF172220BA94440,29,Jack Delano,1940-09-01 00:00:00+00,1940,-73.0889973,41.3206523,Connecticut,New County,fsa1992000045/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,30,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000046/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,31,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000047/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,32,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000048/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,33,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000049/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,34,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000050/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,35,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000051/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,36,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000052/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,37,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000053/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,38,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000054/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,39,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000055/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,40,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000056/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,41,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000057/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,42,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000058/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,43,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000059/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,44,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000060/PP
0101000020E61000002158552F3F3E52C0CDD4DAEA28CE4540,45,Jack Delano,1941-09-01 00:00:00+00,1941,-72.9726065,43.6106237,Vermont,Rutland County,fsa1992000061/PP
